FORMATO DE REPORTE DE NOVEDADES SEMANALES Y ACTUALIZACIÓN DE CUPOS - 2026;;;;;;;;;;;
;;;;;;;;;;;
INSTITUCIÓN EDUCATIVA;TIPO DE COMPLEMENTO;;;;;;;;;;
I.E ANA GOMEZ DE SIERRA;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;SIMAT 04 FEBRERO;;;
SEDE CARMELA BIANCHETTI 2;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
PREESCOLAR;28;;;;;;;;;;
CUARTO 1;26;;;;;;;;;;
CUARTO 2;25;;;;;;;;;;
QUINTO 1;25;;;;;;;;;;
QUINTO 2;26;;;;;;;;;;
TOTAL COMPREMENTOS A ENTREGAR;130;0;0;0;0;0;;105;;;
SEDE SANTA ANA OJO DE AGUA;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
PREESCOLAR;;;1;;;;;;;;
PRIMERO;;;2;;;;;;;;
SEGUNDO;;;5;;;;;;;;
TERCERO;;;8;;;;;;;;
CUARTO ;;;5;;;;;;;;
QUINTO;;;1;;;;;;;;
TOTAL COMPREMENTOS A ENTREGAR;0;0;22;0;0;0;;22;;;
I.E. CONCEJO MUNICIPAL EL PORVENIR;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
SEXTO 1;40;;;;;;;;;;
SEXTO 2;40;;;;;;;;;;
SEXTO 3;41;;;;;;;;;;
SEXTO 4;40;;;;;;;;;;
SÉPTIMO 1;48;;;;;;Buenas tardes en la Institución Concejo Municipal el Porvenir jornada de la tarde, se solicitan despachar solo 180 raciones de industrializado el día 13 de febrero por motivo de Elección de delegados de adida 7,2  7,3  8,2  8,3 ;;;;
SÉPTIMO 2;;34;;;;;;;;;
SÉPTIMO 3;;35;;;;;;;;;
SÉPTIMO 4;;35;;;;;;;;;
OCTAVO 1;48;;;;;;;;;;
OCTAVO 2;;27;;;;;;;;;
OCTAVO 3;;27;;;;;;;;;
OCTAVO 4;;26;;;;;;;;;
NOVENO 1;42;;;;;;;;;;
NOVENO 2;;28;;;;;;;;;
NOVENO 3;;28;;;;;;;;;
NOVENO 4;;28;;;;;;;;;
DÉCIMO 1;37;;;;;;;;;;
DÉCIMO 2;36;;;;;;;;;;
DÉCIMO 3;38;;;;;;;;;;
DÉCIMO 4;37;;;;;;;;;;
ONCE 1;30;;;;;;;;;;
ONCE 2;23;;;;;;;;;;
ONCE 3;35;;;;;;;;;;
ONCE 4;31;;;;;;;;;;
ONCE 5;;29;;;;;;;;;
TOTAL COMPREMENTOS A ENTREGAR;566;297;0;0;0;0;;873;;;
SEDE EDUARDO URIBE BOTERO;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
JARDIN;21;;;;;;;;;;
PREESCOLAR 1;23;;;;;;;;;;
PREESCOLAR 2;24;;;;;;;;;;
PREESCOLAR 3;25;;;;;;;;;;
PREESCOLAR 4;23;;;;;;;;;;
PREESCOLAR 5;21;;;;;;;;;;
PREESCOLAR 6;24;;;;;;;;;;
PRIMERO 1;29;;;;;;;;;;
PRIMERO 2;21;;;;;;;;;;
PRIMERO 3;22;;;;;;;;;;
PRIMERO 4;22;;;;;;;;;;
PRIMERO 5;23;;;;;;;;;;
PRIMERO 6;23;;;;;; ;;;;
SEGUNDO 1;28;;;;;; ;;;;
SEGUNDO 2;27;;;;;;;;;;
SEGUNDO 3;26;;;;;;;;;;
SEGUNDO 4;25;;;;;;;;;;
SEGUNDO 5;29;;;;;;;;;;
SEGUNDO 6;22;;;;;;;;;;
TERCERO 1;29;;;;;;;;;;
TERCERO 2;26;;;;;;;;;;
TERCERO 3;27;;;;;;;;;;
TERCERO 4;30;;;;;;;;;;
TERCERO 5;27;;;;;;;;;;
TERCERO 6;31;;;;;; ;;;;
CUARTO 1;19;;;;;;;;;;
CUARTO 2;15;;;;;;;;;;
CUARTO 3;24;;;;;;;;;;
CUARTO 4;24;;;;;;;;;;
CUARTO 5;24;;;;;;;;;;
CUARTO 6;23;;;;;;;;;;
QUINTO 1;16;;;;;;;;;;
QUINTO 2;24;;;;;;;;;;
QUINTO 3;18;;;;;;;;;;
QUINTO 4;14;;;;;; ;;;;
QUINTO 5;17;;;;;; ;;;;
TOTAL COMPREMENTOS A ENTREGAR;846;0;0;0;0;0;;1109;;;
I.E. GUILLERMO GAVIRIA CORREA;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
PREESCOLAR ;;;10;;10;;;;;;
PRIMERO ;;;10;;10;;;;;;
SEGUNDO ;;;9;;9;;;;;;
TERCERO ;;;17;;17;;;;;;
CUARTO ;;;22;;22;;;;;;
QUINTO ;;;15;;15;;;;;;
SEXTO ;;;27;;27;;;;;;
SÉPTIMO ;;;8;;8;;;;;;
OCTAVO ;;;17;;17;;;;;;
NOVENO ;;;16;;16;;;;;;
DÉCIMO ;;;11;;0;;;;;;
ONCE ;;;13;;0;;;;;;
TOTAL COMPREMENTOS A ENTREGAR;0;0;175;0;151;0;;175;;;
I.E. LICEO JOSÉ MARIA CÓRDOBA;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
SEXTO 1;37;;;;;;;;;;
SEXTO 2;37;;;;;;;;;;
SÉPTIMO 1;29;;;;;;;;;;
SÉPTIMO 2;28;;;;;;;;;;
OCTAVO 1;28;;;;;;;;;;
OCTAVO 2;27;;;;;;;;;;
OCTAVO 3;34;;;;;;;;;;
NOVENO 1;27;;;;;;;;;;
NOVENO 2;26;;;;;;;;;;
DÉCIMO 1;21;;;;;;;;;;
DÉCIMO 2;22;;;;;;;;;;
ONCE 1;20;;;;;;;;;;
ONCE 2;20;;;;;;;;;;
ACELERACION DE APRENDIZAJE 1;29;;;;;;;;;;
ACELERACION DE APRENDIZAJE 2;0;;;;;;;;;;
TOTAL COMPREMENTOS A ENTREGAR;385;0;0;0;0;0;;356;;;
SEDE PASCUALA;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
PROCESOS BASICOS;;;;;;;;;;;
PREESCOLAR;;;19;;;;;;;;
PRIMERO;;;39;;;;;;;;
SEGUNDO ;;;28;;;;;;;;
TERCERO ;;;45;;;;;;;;
CUARTO ;;;35;;;;;;;;
QUINTO ;;;29;;;;;;;;
TOTAL COMPREMENTOS A ENTREGAR;0;0;195;0;0;0;;195;;;
SEDE UNIDA ;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
PREESCOLAR  1;10;;;;;;;;;;
PREESCOLAR  2;10;;;;;;;;;;
PREESCOLAR 3;;12;;;;;;;;;
PRIMERO 1;27;;;;;;;;;;
PRIMERO 2;26;;;;;;;;;;
PRIEMERO 3;;27;;;;;;;;;
PRIMERO 4;;26;;;;;;;;;
SEGUNDO 1;30;;;;;;;;;;
SEGUNBO 2;29;;;;;;;;;;
SEGUNDO 3;;30;;;;;;;;;
SEGUNDO 4;;29;;;;;;;;;
TERCERO 1;35;;;;;;;;;;
TERCERO 2;35;;;;;;;;;;
TERCERO 3;;35;;;;;;;;;
TERCERO 4;;34;;;;;;;;;
CUARTO 1;36;;;;;;;;;;
CUARTO 2;36;;;;;;;;;;
CUARTO 3;;38;;;;;;;;;
QUINTO 1;30;;;;;;;;;;
QUINTO 2;30;;;;;;;;;;
QUINTO 3;;33;;;;;;;;;
SEXTO 3;40;;;;;;;;;;
SEXTO 4;40;;;;;;;;;;
SÉPTIMO 3;25;;;;;;;;;;
SÉPTIMO 4;25;;;;;;;;;;
TOTAL COMPREMENTOS A ENTREGAR;464;264;0;0;0;0;;757;;;
I.E. JOSEFINA MUÑOZ GONZÁLEZ;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
JARDIN;;20;;;;;;;;;
PREESCOLAR 1;;;35;;;;;;;;
PREESCOLAR 2;;;32;;;;;;;;
PRIMERO 1;;;27;;;;;;;;
PRIMERO 2;;;28;;;;;;;;
PRIMERO 3;;;29;;;;;;;;
SEGUNDO 1;;;27;;;;;;;;
SEGUNDO 2;;;29;;;;;;;;
SEGUNDO 3;;;28;;;;;;;;
TERCERO 1;;;30;;;;;;;;
TERCERO 2;;;32;;;;;;;;
TERCERO 3;;;37;;;;;;;;
CUARTO 1;;;32;;;;;;;;
CUARTO 2;;;28;;;;;;;;
CUARTO 3;;;28;;;;;;;;
QUINTO 1;;;26;;;;;;;;
QUINTO 2;;;26;;;;;;;;
QUINTO 3;;;27;;;;;;;;
SEXTO 1;;;30;;;;;;;;
SEXTO 2;;;30;;;;;;;;
SEXTO 3;;;30;;;;;;;;
SEXTO 4;;;30;;;;;;;;
SÉPTIMO 1;;;33;;;;;;;;
SÉPTIMO 2;;;33;;;;;;;;
SÉPTIMO 3;;;33;;;;;;;;
SÉPTIMO 4;;;33;;;;;;;;
OCTAVO 1;36;;;;;;;;;;
OCTAVO 2;36;;;;;;;;;;
OCTAVO 3;36;;;;;;;;;;
OCTAVO 4;36;;;;;;;;;;
NOVENO 1;34;;;;;;;;;;
NOVENO 2;36;;;;;;;;;;
NOVENO 3;34;;;;;;;;;;
DÉCIMO 1;30;;;;;;;;;;
DÉCIMO 2;26;;;;;;;;;;
DÉCIMO 3;32;;;;;;;;;;
ONCE 1;28;;;;;;;;;;
ONCE 2;31;;;;;;;;;;
ONCE 3;26;;;;;;;;;;
ONCE 4;28;;;;;;;;;;
TOTAL COMPREMENTOS A ENTREGAR;449;20;753;0;0;0;;1262;;;
I.E. LA MOSQUITA;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
PREESCOLAR ;;;27;;;;;;;;
PRIMERO ;;;40;;;;"*el dia miercoles 11 de febrero no hay clase en toda la institución educativa debido a la jornada ""Día E"", por favor cancelar el CAJM de este día";;;;
SEGUNDO ;;;38;;;;;;;;
TERCERO;;;39;;;;;;;;
CUARTO ;;;28;;;;;;;;
QUINTO;;;32;;;;;;;;
SEXTO 1;;;23;;;;;;;;
SEXTO 2;;;20;;;;;;;;
SÉPTIMO 1;;;18;;;;;;;;
SÉPTIMO 2;;;22;;;;;;;;
OCTAVO;;;28;;;;;;;;
NOVENO;;;40;;;;;;;;
DÉCIMO;;;16;;;;;;;;
ONCE ;;;20;;;;El día martes 10 de febrero el grupo de undecimo grado tiene la convivencia escolar, favor de mandar el refrigerio correspondiente a la sede Gonzalo Aristizabal;;;;
TOTAL COMPREMENTOS A ENTREGAR;0;0;391;0;0;0;;463;;;
SEDE GONZALO ARISTIZABAL;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
PREESCOLAR ;;;;;;;;;;;
PRIMERO ;;;;;;;cancelar complemento para la sede para el 11 de febrero por dia ;;;;
SEGUNDO ;2;;;;;;el dia E en la institucion;;;;
TERCERO;9;;;;;;;;;;
CUARTO;3;;;;;;;;;;
QUINTO;4;;;;;;;;;;
TOTAL COMPREMENTOS A ENTREGAR;18;0;0;0;0;0;;18;;;
I.E.  BALDOMERO SANÍN CANO;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
PREJARDIN;;;16;;;;;;;;
JARDIN;;;31;;;;;;;;
PREESCOLAR 1;;;80;;;;;;;;
PREESCOLAR 2;;;;;;;;;;;
PREESCOLAR 3;;;;;;;;;;;
PREESCOLAR 4;;;;;;;;;;;
PRIMERO 1;;;127;;;;;;;;
PRIMERO 2;;;;;;;;;;;
PRIMERO 3;;;;;;;;;;;
PRIMERO 4;;;;;;;;;;;
SEGUNDO 1;;;132;;;;;;;;
SEGUNDO 2;;;;;;;;;;;
SEGUNDO 3;;;;;;;;;;;
SEGUNDO 4;;;;;;;;;;;
TERCERO 1;;;160;;;;;;;;
TERCERO 2;;;;;;;;;;;
TERCERO 3;;;;;;;;;;;
TERCERO 4;;;;;;;;;;;
CUARTO 1;;;132;;;;;;;;
CUARTO 2;;;;;;;;;;;
CUARTO 3;;;;;;;;;;;
CUARTO 4;;;;;;;;;;;
QUINTO 1;;;106;;;;;;;;
QUINTO 2;;;;;;;;;;;
QUINTO 3;;;;;;;;;;;
QUINTO 4;;;;;;;;;;;
SEXTO 1;;;;35;;;;;;;
SEXTO 2;;;;39;;;;;;;
SEXTO 3;;;;35;;;;;;;
SEXTO 4;;;;26;;;;;;;
